repo_name,pr_number,pr_title,classification,confidence,detection_signals,created_at,merged_at,model_era,approx_model,author,nloc,additions,deletions,changed_files,commits,commit_count,nloc_total,avg_nloc_per_commit,commit_stats_json
OWASP/CheatSheetSeries,1987,PR fixes Issue #1127 related to capturing malicious SQLi payloads,AI,0.35,ai_keywords,2026-01-27T22:48:45+00:00,2026-02-04T15:29:23+00:00,current,Copilot v2+ / Claude / Gemini,thatsjet,110,108,2,2,5,5,114,22.8,"[{""sha"": ""aa1e0617bc1af367e37849f12931ccd8be7732a9"", ""additions"": 23, ""deletions"": 0, ""total"": 23}, {""sha"": ""6d97aab4af56d8b098c0aab1c83e9fcc051b2c6d"", ""additions"": 3, ""deletions"": 1, ""total"": 4}, {""sha"": ""4b0258ddaf80d6224f308bf6ad4985c6791e36da"", ""additions"": 1, ""deletions"": 1, ""total"": 2}, {""sha"": ""582fb2b3ceb3518a85ee2fdcc27f5a307d107785"", ""additions"": 2, ""deletions"": 2, ""total"": 4}, {""sha"": ""1c47a14dd995b527c6af0fa88501901bf0a8551d"", ""additions"": 81, ""deletions"": 0, ""total"": 81}]"
OWASP/CheatSheetSeries,1957,docs: use HTTPS for Acros Security session fixation reference,Human,0.0,,2026-01-09T09:41:51+00:00,2026-01-13T15:00:57+00:00,current,Copilot v2+ / Claude / Gemini,theanand108,6,3,3,1,1,1,6,6.0,"[{""sha"": ""dc9aa8f553c04d3980158fe4a4e9181efeb26c63"", ""additions"": 3, ""deletions"": 3, ""total"": 6}]"
OWASP/CheatSheetSeries,1966,docs: use HTTPS for IETF Draft reference,Human,0.0,,2026-01-12T17:48:27+00:00,2026-01-15T06:10:24+00:00,current,Copilot v2+ / Claude / Gemini,theanand108,2,1,1,1,1,1,2,2.0,"[{""sha"": ""e4661769fd2d2c77622668893cb9d08caadf453a"", ""additions"": 1, ""deletions"": 1, ""total"": 2}]"
OWASP/CheatSheetSeries,1967,docs: use HTTPS for DMalloc reference,Human,0.0,,2026-01-12T17:56:35+00:00,2026-01-15T06:10:51+00:00,current,Copilot v2+ / Claude / Gemini,theanand108,5,3,2,1,4,4,9,2.25,"[{""sha"": ""12f7617d89055e2a479be282008959d858366b18"", ""additions"": 2, ""deletions"": 2, ""total"": 4}, {""sha"": ""be40af0820ad3c65501236ccc1cea85e9e58c6d6"", ""additions"": 3, ""deletions"": 1, ""total"": 4}, {""sha"": ""c410e4737f45dba08a429ad2e1189152f7e5bc55"", ""additions"": 0, ""deletions"": 0, ""total"": 0}, {""sha"": ""5fc083915310dfe7192d9c120617fd7a5d08320a"", ""additions"": 0, ""deletions"": 1, ""total"": 1}]"
OWASP/CheatSheetSeries,1948,docs: use HTTPS for external references where supported,Human,0.0,,2026-01-05T10:40:02+00:00,2026-01-05T14:07:26+00:00,current,Copilot v2+ / Claude / Gemini,theanand108,4,2,2,1,1,1,4,4.0,"[{""sha"": ""424c8d4e01777f155fb9e5e77eb986a55ceba2e4"", ""additions"": 2, ""deletions"": 2, ""total"": 4}]"
OWASP/CheatSheetSeries,1956,Docs: Fix code indentation levels,AI,0.35,ai_keywords,2026-01-08T14:39:17+00:00,2026-01-21T10:29:35+00:00,current,Copilot v2+ / Claude / Gemini,johnbillion,106,53,53,1,2,2,108,54.0,"[{""sha"": ""90bb920b2cf5c7ef33c54f7a30fa73a93a7e5e0a"", ""additions"": 53, ""deletions"": 53, ""total"": 106}, {""sha"": ""07bde08c0a153e6e3ca18e1ba0ccd9b015b2419a"", ""additions"": 1, ""deletions"": 1, ""total"": 2}]"
OWASP/CheatSheetSeries,1977,Docs fix broken internal link in index.md,Human,0.0,,2026-01-18T08:59:26+00:00,2026-01-21T10:11:42+00:00,current,Copilot v2+ / Claude / Gemini,praveenrajasneo,20,10,10,3,3,3,20,6.67,"[{""sha"": ""5427a7f3785076f7f921575ca5cb831872714bc9"", ""additions"": 3, ""deletions"": 3, ""total"": 6}, {""sha"": ""6ab9f5d73ad95c52fadb8dea48cc4d5ad1f5eb17"", ""additions"": 6, ""deletions"": 6, ""total"": 12}, {""sha"": ""cf2140a37f00a7bc54a074ec08e21f01170bdf28"", ""additions"": 1, ""deletions"": 1, ""total"": 2}]"
OWASP/CheatSheetSeries,1968,docs: use HTTPS for XACML specification reference,Human,0.0,,2026-01-12T18:08:55+00:00,2026-01-15T06:11:13+00:00,current,Copilot v2+ / Claude / Gemini,theanand108,4,2,2,1,1,1,4,4.0,"[{""sha"": ""7b3ee2e3de4d7fd8fabb85ab00ec60db252ff799"", ""additions"": 2, ""deletions"": 2, ""total"": 4}]"
OWASP/CheatSheetSeries,1970,Remove references to unsupported or outdated third-party security tools,AI,0.35,ai_keywords,2026-01-13T11:24:01+00:00,2026-01-13T14:05:19+00:00,current,Copilot v2+ / Claude / Gemini,dleicam,18,1,17,2,1,1,18,18.0,"[{""sha"": ""4413ea4391f41f93258efb097a6a6c54dd3d4e29"", ""additions"": 1, ""deletions"": 17, ""total"": 18}]"
OWASP/CheatSheetSeries,1954,Bump urllib3 from 2.6.0 to 2.6.3 in the pip group across 1 directory,Human,0.25,bot_author,2026-01-08T06:34:13+00:00,2026-01-08T16:38:23+00:00,current,Copilot v2+ / Claude / Gemini,dependabot[bot],2,1,1,1,1,1,2,2.0,"[{""sha"": ""99b2d674ead1964f07146fae6b94d768115e99f5"", ""additions"": 1, ""deletions"": 1, ""total"": 2}]"
OWASP/CheatSheetSeries,1950,Fix bad closing code fence for X-Robots-Tag in HTTP Headers cheatsheet,Human,0.0,,2026-01-07T09:34:35+00:00,2026-01-07T19:22:19+00:00,current,Copilot v2+ / Claude / Gemini,krilor,4,2,2,1,1,1,4,4.0,"[{""sha"": ""3d85a367505eef6f49d05a4de24bf12a5fb0d24d"", ""additions"": 2, ""deletions"": 2, ""total"": 4}]"
OWASP/CheatSheetSeries,1942,Create Multi_Tenant_Security_Cheat_Sheet.md,AI,0.35,ai_keywords,2025-12-29T14:24:56+00:00,2026-01-05T09:21:34+00:00,current,Copilot v2+ / Claude / Gemini,KadirArslan,985,985,0,1,2,2,1009,504.5,"[{""sha"": ""d6bf6fdc5aecdbe0e152d6e1df2a0cbf03022286"", ""additions"": 949, ""deletions"": 0, ""total"": 949}, {""sha"": ""e92c598ac802ee40f432219250d43d47299bc7cb"", ""additions"": 48, ""deletions"": 12, ""total"": 60}]"
OWASP/CheatSheetSeries,1943,Add C#/.NET implementation to Logging Vocabulary implementation section,AI,0.35,ai_keywords,2025-12-30T19:27:56+00:00,2026-01-05T09:19:35+00:00,current,Copilot v2+ / Claude / Gemini,detilium,1,1,0,1,2,2,3,1.5,"[{""sha"": ""664400390c5ffe6ccb3f48fe15f9e909eca8b37a"", ""additions"": 1, ""deletions"": 0, ""total"": 1}, {""sha"": ""249139b467bf6f22b40e50b0c0ff3bca0546944e"", ""additions"": 1, ""deletions"": 1, ""total"": 2}]"
